source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1915/1915-ABJ,1915,Buckeye League,,ALSZ0101,Allis,,,Canton,19150531,19150531,1,0,0,0,0,0,1,0,0,1,0,0,
boxscores/1915/1915-ABJ,1915,Buckeye League,,ALSN0101,Allison,,,Canton,19150519,19150531,4,0,0,0,0,0,4,0,0,4,0,0,
boxscores/1915/1915-CER,1915,Buckeye League,allison,ALSN0101,Allison,,,Canton,19150519,19150531,8,0,0,0,0,0,8,0,0,8,0,0,
boxscores/1915/1915-LDN,1915,Buckeye League,allison,ALSN0101,Allison,,,Canton,19150527,19150528,2,0,0,0,0,0,2,0,0,2,0,0,
minoraverages/Nemec,1915,Buckeye League,allison,B00013,Allison,,0,Canton,19150519,19150531,8,,,yes,,,yes,,,,,,
boxscores/1915/1915-ABJ,1915,Buckeye League,,PRTZ0104,Baird,,,Akron,19150524,19150524,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-ABJ,1915,Buckeye League,,PRTZ0204,Baird,,,Newark,19150531,19150531,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-CER,1915,Buckeye League,baird,PRTZ0102,Baird,,,Akron,19150524,19150524,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-NDA,1915,Buckeye League,baird,PRTZ0103,Baird,,,Akron,19150524,19150524,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-NDA,1915,Buckeye League,baird,PRTZ0203,Baird,,,Newark,19150531,19150531,2,1,0,0,0,0,1,0,1,0,0,1,
minoraverages/Nemec,1915,Buckeye League,baird,B00021,Baird,,1,Akron,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Buckeye League,baird,B00021,Baird,,2,Newark,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Buckeye League,baird,B00021,Baird,,T,,19150528,19150601,3,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Buckeye League,baird,P10019,Baird,,1,Akron,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Buckeye League,baird,P10019,Baird,,2,Newark,,,,,,,,,,,,,,,
minoraverages/Nemec,1915,Buckeye League,baird,P10019,Baird,,T,,,,,2,,,,,,,,,,,
boxscores/1915/1915-CER,1915,Buckeye League,blanchard,PNXR0101,Banchard,,,Newark,19150525,19150525,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1915/1915-NDA,1915,Buckeye League,blanchard,PNXR0101,Banchard,,,Newark,19150525,19150525,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1915/1915-ABJ,1915,Buckeye League,,PRNR0101,Barnhart,,,Canton,19150519,19150531,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1915/1915-CER,1915,Buckeye League,barnhart,PRNR0101,Barnhart,,,Canton,19150519,19150531,3,3,0,0,0,0,0,0,0,0,0,3,
boxscores/1915/1915-LDN,1915,Buckeye League,barnhart,PRNR0101,Barnhart,,,Canton,19150519,19150523,2,2,0,0,0,0,0,0,0,0,0,2,
boxscores/1915/1915-NDA,1915,Buckeye League,barnhart,PRNR0101,Barnhart,,,Canton,19150519,19150531,3,3,0,0,0,0,0,0,0,0,0,3,
minoraverages/Nemec,1915,Buckeye League,barnhart,B00037,Barnhart,,0,Canton,19150519,19150531,3,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Buckeye League,barnhart,P10024,Barnhart,,0,Canton,,,,3,,,,,,,,,,,
minoraverages/Nemec,1915,Buckeye League,baughman,B00045,Baughman,,0,Canton,19150604,19150604,1,,,,,,yes,,,,,,
boxscores/1915/1915-ABJ,1915,Buckeye League,,PNZZ0101,Beeney,,,Canton,19150606,19150611,5,0,0,0,0,0,0,0,0,0,5,0,
boxscores/1915/1915-LDN,1915,Buckeye League,beeney,PNZZ0101,Beeney,,,Canton,19150606,19150611,5,0,0,0,0,0,0,0,0,0,5,0,
boxscores/1915/1915-NDA,1915,Buckeye League,beeney,PNZZ0102,Beeney,,,Canton,19150606,19150610,5,0,0,0,0,0,0,0,0,0,5,0,
minoraverages/Nemec,1915,Buckeye League,beeney,B00059,Beeney,,0,Canton,19150604,19150611,6,,,,,,,,,,yes,,
boxscores/1915/1915-NDA,1915,Buckeye League,beeney,PNZZ0202,Beeny,,,Canton,19150611,19150611,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1915/1915-ABJ,1915,Buckeye League,,PNRZ0101,Benner,,,Newark,19150610,19150610,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-LDN,1915,Buckeye League,benner,PNRZ0101,Benner,,,Newark,19150610,19150610,1,1,0,0,0,0,0,0,0,0,0,1,
boxscores/1915/1915-NDA,1915,Buckeye League,benner,PNRZ0101,Benner,,,Newark,19150610,19150610,1,1,0,0,0,0,0,0,0,0,0,1,
minoraverages/Nemec,1915,Buckeye League,benner,B00068,Benner,,0,Newark,19150611,19150611,1,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Buckeye League,benner,P10035,Benner,,0,Newark,,,,1,,,,,,,,,,,
boxscores/1915/1915-ABJ,1915,Buckeye League,,PKSZ0101,Biggs,,,Canton,19150605,19150605,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1915/1915-NDA,1915,Buckeye League,biggs,PKSZ0101,Biggs,,,Canton,19150605,19150605,1,0,0,0,0,0,0,0,0,0,1,0,
boxscores/1915/1915-ABJ,1915,Buckeye League,,PLKR0101,Blachard,,,Newark,19150627,19150627,1,0,0,0,0,0,1,0,0,1,1,0,
boxscores/1915/1915-ABJ,1915,Buckeye League,,PLKZ0101,Black,,,Findlay,19150617,19150630,8,7,0,0,0,0,1,0,0,1,0,7,
boxscores/1915/1915-LDN,1915,Buckeye League,black,PLKZ0101,Black,,,Findlay,19150617,19150630,6,6,0,0,0,0,0,0,0,0,0,6,
boxscores/1915/1915-NDA,1915,Buckeye League,black,PLKZ0101,Black,,,Findlay,19150617,19150705,10,9,0,0,0,0,0,0,0,0,0,9,
minoraverages/Nemec,1915,Buckeye League,black,B00076,Black,,0,Findlay,19150617,19150705,11,,,,,,,,,,,yes,
minoraverages/Nemec,1915,Buckeye League,black,P10043,Black,,0,Findlay,,,,10,,,,,,,,,,,
boxscores/1915/1915-ABJ,1915,Buckeye League,,PLNX0101,Blanchard,,,Newark,19150524,19150630,18,0,0,0,0,0,9,1,1,7,9,0,
boxscores/1915/1915-CER,1915,Buckeye League,blanchard,PLNX0101,Blanchard,,,Newark,19150524,19150528,3,0,0,0,0,0,0,0,0,0,3,0,
