source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
boxscores/1915/1915-CS,1915,South Atlantic League,alton,ALTN0102,Alton,,,Albany,19150414,19150703,30,25,0,0,0,0,2,0,1,1,0,25,
minoraverages/1916Reach,1915,South Atlantic League,alton,B00469,Alton,,0,Albany,,,30,,,,,,,,,,,,
minoraverages/1916Reach,1915,South Atlantic League,alton,F21646,Alton,,0,all,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,South Atlantic League,alton,F22169,Alton,,0,Albany,,,,,,,,,,,,,,25,
minoraverages/1916Reach,1915,South Atlantic League,alton,P10192,Alton,,0,Albany,,,,25,,,,,,,,,,,
boxscores/1915/1915-CS,1915,South Atlantic League,alvarez,ALFR0101,Alvarez,,,Columbia,19150412,19150412,1,1,0,0,0,0,0,0,0,0,0,1,
minoraverages/1916Reach,1915,South Atlantic League,alvarez,F22454,Alvarez,,0,all,,,,,,,,,,,,,,yes,
boxscores/1915/1915-CS,1915,South Atlantic League,bankston,PNKS0101,Bankston,,,Charleston,19150412,19150720,89,0,0,0,0,0,87,87,0,0,3,0,
minoraverages/1916Reach,1915,South Atlantic League,bankston,B00182,Bankston,,0,Charleston,,,89,,,,,,,,,,,,
minoraverages/1916Reach,1915,South Atlantic League,bankston,F21207,Bankston,,0,Charleston,,,,,,,,,88,,,,,,
minoraverages/1916Reach,1915,South Atlantic League,bankston,F22889,Bankston,,0,all,,,,,,,,,,,,,yes,,
boxscores/1915/1915-CS,1915,South Atlantic League,bartell,PRTL0101,Bartell,,,Columbia,19150413,19150421,2,2,0,0,0,0,0,0,0,0,0,2,
minoraverages/1916Reach,1915,South Atlantic League,bartell,F22465,Bartell,,0,all,,,,,,,,,,,,,,yes,
boxscores/1915/1915-CS,1915,South Atlantic League,basham,PXMZ0102,Basham,,,Charleston,19150508,19150519,11,0,0,0,0,0,6,0,1,5,5,0,
boxscores/1915/1915-CS,1915,South Atlantic League,basham,PXMZ0202,Basham,,,Macon,19150412,19150720,68,0,0,0,1,0,2,1,0,1,62,0,
minoraverages/1916Reach,1915,South Atlantic League,basham,B00196,Basham,,1,Macon,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,South Atlantic League,basham,B00196,Basham,,2,Charleston,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,South Atlantic League,basham,B00196,Basham,,3,Macon,,,,,,,,,,,,,,,
minoraverages/1916Reach,1915,South Atlantic League,basham,B00196,Basham,,T,,,,86,,,,,,,,,,,,
minoraverages/1916Reach,1915,South Atlantic League,basham,F21000,Basham,,1,Macon,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,South Atlantic League,basham,F21000,Basham,,2,Charleston,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,South Atlantic League,basham,F21000,Basham,,3,Macon,,,,,,,,,yes,,,,,,
minoraverages/1916Reach,1915,South Atlantic League,basham,F21000,Basham,,T,,,,,,,,,,6,,,,,,
