source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1911Spalding,1910,Northwestern League,adams,B00319,Adams,,1,Vancouver,,,,,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,adams,B00319,Adams,,2,Seattle,,,,,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,adams,B00319,Adams,,T,,,,137,,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,adams,F20072,Adams,,0,Seattle,,,,,23,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,adams,F20430,Adams,,1,Vancouver,,,,,,,,,yes,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,adams,F20430,Adams,,2,Seattle,,,,,,,,,yes,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,adams,F20430,Adams,,T,,,,,,,,,,114,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,akin,B00286,Akin,,0,Seattle,,,150,,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,akin,F20189,Akin,,0,Seattle,,,,,,,140,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,akin,F20908,Akin,,0,Seattle,,,,,,,,,,,,,12,,
minoraverages/1911Spalding,1910,Northwestern League,annis,B00370,Annis,,0,Tacoma,,,42,,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,annis,F20673,Annis,,0,Tacoma,,,,,,,,,,,,,,35,
minoraverages/1911Spalding,1910,Northwestern League,annis,P10081,Annis,,0,Tacoma,,,,35,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,baker,B00528,Baker,,0,Spokane,,,46,,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,baker,F20737,Baker,,0,Spokane,,,,,,,,,,,,,,45,
minoraverages/1911Spalding,1910,Northwestern League,baker,P10019,Baker,,0,Spokane,,,,45,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,bassey,B00335,Bassey,,0,Tacoma,,,114,,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,bassey,F20316,Bassey,,0,Tacoma,,,,,,,,,114,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,bennett,B00241,Bennett,,0,Seattle,,,158,,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,bennett,F20102,Bennett,,0,Seattle,,,,,,158,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,blankenship,B00117,Blankenship,,0,Tacoma,,,60,,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,blankenship,F20864,Blankenship,,0,Tacoma,,,,,,,,,,,,,56,,
minoraverages/1911Spalding,1910,Northwestern League,bliss,B00822,Bliss,,0,Tacoma,,,10,,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,bonner,B00760,Bonner,,0,Spokane,,,38,,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,bonner,F20759,Bonner,,0,Spokane,,,,,,,,,,,,,,38,
minoraverages/1911Spalding,1910,Northwestern League,bonner,P10062,Bonner,,0,Spokane,,,,38,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,breen,B00059,Breen,,0,Vancouver,,,148,,,,,,,,,,,,
minoraverages/1911Spalding,1910,Northwestern League,breen,F20131,Breen,,0,Vancouver,,,,,,,140,,,,,,,,
